testid,FEC_d,FEC_r,mcs,Txpower,stbc,ldpc,bandwidth,mtu,channel,antennas
0,8,4,0,30,0,1,5MHz,512,1,3
1,8,4,0,30,1,1,5MHz,512,1,3
2,8,4,0,30,2,1,5MHz,512,1,3
3,8,4,1,30,0,1,5MHz,512,1,3
4,8,4,1,30,1,1,5MHz,512,1,3
5,8,4,1,30,2,1,5MHz,512,1,3
6,8,4,0,30,0,1,5MHz,512,11,3
7,8,4,0,30,1,1,5MHz,512,11,3
8,8,4,0,30,2,1,5MHz,512,11,3
9,8,4,1,30,0,1,5MHz,512,11,3
10,8,4,1,30,1,1,5MHz,512,11,3
11,8,4,1,30,2,1,5MHz,512,11,3
12,8,4,0,30,0,1,5MHz,1024,1,3
13,8,4,0,30,1,1,5MHz,1024,1,3
14,8,4,0,30,2,1,5MHz,1024,1,3
15,8,4,1,30,0,1,5MHz,1024,1,3
16,8,4,1,30,1,1,5MHz,1024,1,3
17,8,4,1,30,2,1,5MHz,1024,1,3
18,8,4,0,30,0,1,5MHz,1024,11,3
19,8,4,0,30,1,1,5MHz,1024,11,3
20,8,4,0,30,2,1,5MHz,1024,11,3
21,8,4,1,30,0,1,5MHz,1024,11,3
22,8,4,1,30,1,1,5MHz,1024,11,3
23,8,4,1,30,2,1,5MHz,1024,11,3
24,8,4,0,30,0,1,5MHz,1450,1,3
25,8,4,0,30,1,1,5MHz,1450,1,3
26,8,4,0,30,2,1,5MHz,1450,1,3
27,8,4,1,30,0,1,5MHz,1450,1,3
28,8,4,1,30,1,1,5MHz,1450,1,3
29,8,4,1,30,2,1,5MHz,1450,1,3
30,8,4,0,30,0,1,5MHz,1450,11,3
31,8,4,0,30,1,1,5MHz,1450,11,3
32,8,4,0,30,2,1,5MHz,1450,11,3
33,8,4,1,30,0,1,5MHz,1450,11,3
34,8,4,1,30,1,1,5MHz,1450,11,3
35,8,4,1,30,2,1,5MHz,1450,11,3
36,8,4,0,30,0,0,5MHz,1450,11,3
37,8,4,0,30,1,0,5MHz,1450,11,3
38,8,4,0,30,2,0,5MHz,1450,11,3
39,8,4,0,27,1,0,5MHz,1450,11,1
40,8,4,0,27,2,0,5MHz,1450,11,1
